Name,Popularity,Rank
Togekiss,673000,284
Regice,664000,285
Mightyena,660000,286
Regigigas,659000,287
Nidorino,658000,288
Heatran,658000,289
Manectric,654000,290
Rhyhorn,650000,291
Delcatty,649000,292
Victreebel,645000,293
Kingdra,645000,294
Dewgong,644000,295
Furret,644000,296
Grovyle,644000,297
Regirock,641000,298
Primeape,639000,299
Deino,637000,300
Seadra,633000,301
Smeargle,633000,302
Miltank,632000,303
Sharpedo,630000,304
Registeel,624000,305
Venomoth,622000,306
Talonflame,620000,307
Dodrio,618000,308
Mareep,618000,309
Fearow,616000,310
Bayleef,614000,311
Beautifly,614000,312
Cresselia,614000,313
Kingler,610000,314
Exeggcute,610000,315
Shellder,607000,316
Tranquill,606000,317
Axew,605000,318
Omanyte,600000,319
Buizel,598000,320
Blissey,590000,321
Omastar,589000,322
Venonat,579000,323
Seviper,578000,324
Nidorina,572000,325
Shuckle,572000,326
Vibrava,572000,327
Buneary,566000,328
Mamoswine,565000,329
Donphan,564000,330
Larvitar,563000,331
Breloom,553000,332
Houndour,549000,333
Noivern,549000,334
Aipom,547000,335
Lanturn,544000,336
Sawk,543000,337
Goomy,543000,338
Slowking,542000,339
Emboar,542000,340
Azurill,539000,341
Graveler,538000,342
Sudowoodo,538000,343
Teddiursa,537000,344
Floette,537000,345
Beldum,536000,346
Stoutland,533000,347
Panpour,532000,348
Samurott,530000,349
Numel,529000,350
Camerupt,528000,351
Delibird,522000,352
Misdreavus,520000,353
Poochyena,519000,354
Dunsparce,517000,355
Gourgeist,516000,356
Tropius,515000,357
Ursaring,512000,358
Magby,512000,359
Spinda,512000,360
Stunfisk,511000,361
Sentret,510000,362
Togetic,510000,363
Swellow,508000,364
Ariados,506000,365
Azelf,506000,366
Roserade,499000,367
Politoed,496000,368
Duskull,496000,369
Murkrow,494000,370
Noctowl,490000,371
Kecleon,490000,372
Ludicolo,488000,373
Archen,486000,374
Shelmet,485000,375
Weepinbell,483000,376
Quagsire,478000,377
Spiritomb,478000,378
Gogoat,476000,379
Meowstic,472000,380
Froslass,468000,381
Hoppip,466000,382
Corsola,466000,383
Taillow,465000,384
Castform,463000,385
Mismagius,460000,386
Joltik,459000,387
Cleffa,458000,388
Porygon-Z,458000,389
Gliscor,457000,390
Elekid,454000,391
Hawlucha,454000,392
Shellos,453000,393
Mesprit,452000,394
Aegislash,451000,395
Chesnaught,448000,396
Combusken,447000,397
Bisharp,447000,398
Zigzagoon,446000,399
Glalie,446000,400
Staraptor,445000,401
Wingull,444000,402
Gabite,444000,403
Swablu,443000,404
Litwick,443000,405
Octillery,442000,406
Volcarona,442000,407
Thundurus,440000,408
Haxorus,438000,409
Girafarig,436000,410
Chingling,436000,411
Torkoal,434000,412
Phanpy,432000,413
Lotad,432000,414
Solrock,431000,415
Drifloon,431000,416
Abomasnow,431000,417
Shedinja,430000,418
Gligar,424000,419
Landorus,424000,420
Lunatone,422000,421
Phione,421000,422
Spheal,420000,423
Medicham,419000,424
Bellossom,418000,425
Magnezone,418000,426
Armaldo,417000,427
Metang,416000,428
Virizion,415000,429
Amaura,415000,430
Pumpkaboo,415000,431
Shuppet,414000,432
Terrakion,413000,433
Croconaw,412000,434
Timburr,409000,435
Frogadier,408000,436
Electivire,405000,437
Trapinch,404000,438
Floatzel,404000,439
Lairon,403000,440
Luvdisc,403000,441
Shelgon,403000,442
Dusknoir,403000,443
Marshtomp,401000,444
Purrloin,401000,445
Cobalion,401000,446
Minccino,399000,447
Vivillon,398000,448
Hariyama,397000,449
Whimsicott,397000,450
Servine,395000,451
Igglybuff,394000,452
Chinchou,393000,453
Cacturne,393000,454
Malamar,393000,455
Porygon2,391000,456
Snorunt,390000,457
Sunflora,386000,458
Croagunk,385000,459
Exploud,383000,460
Pineco,381000,461
Wailmer,381000,462
Deerling,380000,463
Tornadus,377000,464
Jumpluff,376000,465
Dewott,376000,466
Excadrill,376000,467
Hitmontop,375000,468
Wynaut,373000,469
Seedot,371000,470
Wurmple,370000,471
Snubbull,369000,472
Spinarak,368000,473
Spoink,366000,474
Dusclops,364000,475
Shiftry,363000,476
Pelipper,363000,477
Linoone,362000,478
Loudred,362000,479
Relicanth,362000,480
Lilligant,361000,481
Tyrogue,360000,482
Gulpin,360000,483
Reuniclus,360000,484
Magcargo,358000,485
Electrike,358000,486
Swanna,357000,487
Swinub,355000,488
Shroomish,355000,489
Nosepass,351000,490
Klefki,351000,491
Tyrantrum,349000,492
Pyroar,348000,493
Slugma,347000,494
Cacnea,347000,495
Corphish,347000,496
Scatterbug,343000,497
Beartic,342000,498
Forretress,340000,499
Honchkrow,338000,500
Yanmega,337000,501
Walrein,336000,502
Grotle,336000,503
Krookodile,335000,504
Flaaffy,333000,505
Granbull,333000,506
Golurk,333000,507
Remoraid,330000,508
Nuzleaf,329000,509
Fletchling,329000,510
Piloswine,328000,511
Inkay,328000,512
Stantler,325000,513
Pupitar,325000,514
Cradily,325000,515
Scolipede,324000,516
Crawdaunt,323000,517
Magmortar,323000,518
Qwilfish,322000,519
Smoochum,321000,520
Sunkern,320000,521
Drifblim,320000,522
Archeops,320000,523
Bibarel,319000,524
Braviary,319000,525
Trevenant,319000,526
Dustox,318000,527
Makuhita,318000,528
Monferno,318000,529
Rhyperior,317000,530
Zebstrika,317000,531
Bronzong,313000,532
Chimecho,312000,533
Meditite,308000,534
Druddigon,307000,535
Grumpig,305000,536
Pangoro,305000,537
Gastrodon,304000,538
Sawsbuck,303000,539
Mienshao,303000,540
Nincada,302000,541
Toxicroak,300000,542
Carvanha,299000,543
Lampent,299000,544
Surskit,297000,545
Liepard,294000,546
Drapion,293000,547
Masquerain,290000,548
Illumise,290000,549
Anorith,289000,550
Furfrou,286000,551
Galvantula,285000,552
Honedge,285000,553
Clamperl,282000,554
Gothitelle,282000,555
Florges,279000,556
Sealeo,277000,557
Rampardos,276000,558
Glameow,276000,559
Rufflet,276000,560
Ledyba,275000,561
Baltoy,274000,562
Cherubi,274000,563
Pignite,273000,564
Skiploom,271000,565
Slakoth,271000,566
Mime Jr.,270000,567
Woobat,269000,568
Gorebyss,268000,569
Budew,268000,570
Lumineon,267000,571
Phantump,264000,572
Cherrim,263000,573
Swalot,261000,574
Lileep,261000,575
Barboach,259000,576
Ambipom,259000,577
Darmanitan,258000,578
Aurorus,258000,579
Cascoon,257000,580
Vigoroth,256000,581
Whismur,255000,582
Huntail,255000,583
Pidove,254000,584
Ferrothorn,254000,585
Staravia,253000,586
Cofagrigus,252000,587
Garbodor,252000,588
Cubchoo,248000,589
Tangrowth,247000,590
Bunnelby,246000,591
Helioptile,244000,592
Swirlix,242000,593
Tyrunt,242000,594
Diggersby,241000,595
Silcoon,239000,596
Bronzor,239000,597
Happiny,239000,598
Leavanny,239000,599
Pansear,238000,600
Vespiquen,236000,601
Vanillite,236000,602
Larvesta,235000,603
Prinplup,234000,604
Litleo,233000,605
Doublade,231000,606
Throh,229000,607
Trubbish,229000,608
Seismitoad,226000,609
Ducklett,226000,610
Cranidos,225000,611
Burmy,225000,612
Conkeldurr,225000,613
Yamask,225000,614
Lillipup,224000,615
Musharna,224000,616
Blitzle,224000,617
Carbink,223000,618
Nidoran♀,222000,619
Nidoran♂,220000,620
Hippowdon,218000,621
Watchog,218000,622
Stunky,216000,623
Sigilyph,216000,624
Gothita,216000,625
Quilladin,215000,626
Spritzee,215000,627
Cinccino,213000,628
Jellicent,213000,629
Solosis,212000,630
Dwebble,211000,631
Bastiodon,210000,632
Skuntank,210000,633
Bonsly,209000,634
Fraxure,208000,635
Slurpuff,207000,636
Heliolisk,204000,637
Swadloon,202000,638
Fletchinder,202000,639
Carnivine,201000,640
Maractus,201000,641
Accelgor,199000,642
Purugly,198000,643
Probopass,198000,644
Amoonguss,198000,645
Hippopotas,194000,646
Darumaka,194000,647
Skorupi,193000,648
Sewaddle,193000,649
Gothorita,193000,650
Alomomola,193000,651
Frillish,192000,652
Skiddo,190000,653
Swoobat,189000,654
Mienfoo,189000,655
Mandibuzz,189000,656
Finneon,188000,657
Pawniard,188000,658
Petilil,187000,659
Foongus,187000,660
Eelektross,187000,661
Palpitoad,186000,662
Lickilicky,184000,663
Eelektrik,183000,664
Vanilluxe,182000,665
Bouffalant,182000,666
Gigalith,181000,667
Unfezant,180000,668
Ferroseed,180000,669
Tynamo,180000,670
Venipede,179000,671
Dragalge,178000,672
Krokorok,177000,673
Mothim,176000,674
Roggenrola,174000,675
Herdier,173000,676
Sliggoo,173000,677
Heatmor,172000,678
Mantyke,170000,679
Escavalier,169000,680
Aromatisse,168000,681
Drilbur,167000,682
Carracosta,166000,683
Klinklang,165000,684
Zweilous,165000,685
Duosion,164000,686
Crustle,163000,687
Wormadam,162000,688
Tympole,162000,689
Beheeyem,162000,690
Skrelp,162000,691
Vullaby,161000,692
Kricketune,159000,693
Vanillish,158000,694
Kricketot,154000,695
Barbaracle,154000,696
Golett,152000,697
Simisage,151000,698
Binacle,151000,699
Clawitzer,151000,700
Simipour,150000,701
